"1.      What do you think are barriers to getting ahead and becoming financially stable?  For each of the  following 27 options listed, please mark (x) if you think it is a “Big Barrier,” “Less of a Barrier” or “Not a Barrier” in your local community?",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.      Our state is currently in an economic and health crisis. What type of PROGRAMS do you think are most needed to respond? (Pick your top three Priorities in the TOP column, add your next three priorities in the NEXT column)",,,,,,,,,,,,,,,,,,,,Any other program needed that would best help families become self-sufficient? (fill in),"a.      How familiar are you with the programs that are offered by EightCAP, Inc.?",,a.      Which response best describes how you see EightCAP’s current role in our community? (Please pick one.),a.      How can EightCAP best serve in the future? (Pick all the options that you think apply.),,,,,, Which county do you live in?,b. What best describes your relationship with EightCAP?,Have you used any of the following services from EightCAP in the last three years?,,,,,,,,,,,Have you experienced any of the following in the past year?,,,,,,,,,,,,,,,,What best describes your work status? (Check all that apply),What Counties do you work in? Check all that apply.,,,,,Do you have health insurance?,What best describes your Race/Ethnicity?,Gender?,Age,Marital Status,Schooling – last grade/degree completed?,Military Status?,Your current housing situtation?,"What is the monthly cost of housing for you- (include estimated cost of utilities, insurance in amount?)",How many people (adults and children) in your household?,What is your total Household income range?,Do you have a computer at home?,Do you have a Smart phone?,Do you have internet access?,Is there anything else about your circumstances you would like to share?,Is there anything else about the community's changing needs you would like to add?
Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Don't know,Big Barrier,Not a Barrier,Less of a Barrier,Less of a Barrier,Don't know,Don't know,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Not a Barrier,Don't know,Don't know,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Next Priority,Next Priority,Not Applicable,Top Priority,Next Priority,Next Priority,Next Priority,Next Priority,Top Priority,Top Priority,Top Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Top Priority,Next Priority,Top Priority,,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Montcalm,Community member,,,,,,,,,,,,,,,,,,,,,j. Didn’t get a prescription filled because of the cost,,,,,,,"3.	Work for private business",,,,,Other,Yes,White or Caucasian,Female,24-44 years,Married,Have College Degree,N/A,Own/buying home,1500,Household of 8 or more,"$45,001-75,000",Yes,Yes,Yes,,
Big Barrier,Big Barrier,Not a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Next Priority,Top Priority,Next Priority,Next Priority,Top Priority,Next Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Next Priority,Top Priority,Next Priority,Top Priority,Top Priority,Top Priority,,Very familiar,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),,Start new programs to met new needs in the community,,Partner with other organizations and agencies in the community,,Montcalm,Work for EightCAP or on Governance Board/Policy Council,,,,,,,,,,,,,,,,"e.	Used a food bank or food pantry",,"g.	Household member lost job/laid off from work",,,,,,,,,,"6.	Non-profit (including religious org.) employee",,Ionia,,Montcalm,,Yes,White or Caucasian,Female,24-44 years,Married,Have College Degree,N/A,Own/buying home,1600,Household of 4,"$45,001-75,000",No,Yes,Yes,,
Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,,,,,,,,,Next Priority,Top Priority,,,Next Priority,,,Top Priority,,Top Priority,Next Priority,,,Very familiar,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Isabella,Client (in past or currently),,,,,,Food Distribution,,,,,,,,,,"e.	Used a food bank or food pantry",,"g.	Household member lost job/laid off from work",,,j. Didn’t get a prescription filled because of the cost,,,,,,p. Missed a car payment/ insurance payment,"6.	Non-profit (including religious org.) employee",Gratiot,,Isabella,,,Yes,White or Caucasian,Female,45-54 years,Divorced,Have College Degree,N/A,Own/buying home,1200,Household of 3,"$25,001 – 45,000",Yes,Yes,Yes,,
Big Barrier,Big Barrier,Big Barrier,Big Barrier,Don't know,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Don't know,Don't know,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Don't know,Don't know,Don't know,Big Barrier,,,,,Top Priority,Next Priority,,Next Priority,,Top Priority,,,Next Priority,,,,,Top Priority,,,,Not familiar with most EightCAP programs,,EightCAP’s services are vital for a strong community,,,,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,,,i.   Didn’t go to the doctor because of the cost,,,,,,,,"7.	Working more than one job",Gratiot,,,Montcalm,,Yes,White or Caucasian,Female,24-44 years,Never Married,Have College Degree,N/A,Doubled up with family or friends temporarily,$150.00,Household of 3,"$45,001-75,000",Yes,Yes,Yes,,
Big Barrier,Big Barrier,Not a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Not a Barrier,Big Barrier,Not a Barrier,Not a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Not a Barrier,Not Applicable,,,,Next Priority,Not Applicable,Next Priority,,Top Priority,,,,,Top Priority,Not Applicable,Top Priority,Next Priority,Next Priority,,,Dave Ramsey,Not familiar with most EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),,,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Other,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,"g.	Household member lost job/laid off from work",,,,,,,,,,"5.	Government (including schools) employee",Gratiot,,,Montcalm,Other,Yes,White or Caucasian,Female,24-44 years,Married,High School or GED diploma,N/A,Own/buying home,3000,Household of 5,"$75,001-$100,000",No,Yes,Yes,,
Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,,Top Priority,,,,,Top Priority,,,Next Priority,Next Priority,,Top Priority,,,Next Priority,,,,,,Somewhat familiar with EightCAP programs,,No opinion,,,,Advocate for low income residents in the community,,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",,,,Montcalm,,Yes,White or Caucasian,Female,55-69 years,Married,Started College,N/A,Own/buying home,700,Household of 2,"$75,001-$100,000",No,Yes,Yes,,
Don't know,Not a Barrier,Not a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Less of a Barrier,Top Priority,Top Priority,Top Priority,Not Applicable,Not Applicable,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,"Hi know families that need training with organizing, cleaning, cooking and learning how to buy groceries to cook healthy meals affordablely",Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Ionia,Community member,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.	Retired",,,,,Other,Yes,White or Caucasian,Female,55-69 years,Married,Have Associates degree,N/A,Own/buying home,400.00 a month,Household of 3,"$25,001 – 45,000",No,Yes,Yes,,
Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,,,,,Next Priority,,Next Priority,,Top Priority,Top Priority,,,,,,Top Priority,,Next Priority,,,not sure at this time,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,,Advocate for low income residents in the community,,,Gratiot,Community member,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",Gratiot,,,,,Yes,White or Caucasian,Female,45-54 years,Married,Have College Degree,N/A,Own/buying home,"4,000",Household of 6,"Between $6,000 - $12,000",Yes,Yes,Yes,no,no
Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,,,,,Top Priority,,,,Top Priority,Next Priority,Next Priority,,,,,,,Top Priority,Next Priority,,,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Gratiot,Community member,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",Gratiot,,,,,Yes,White or Caucasian,Female,24-44 years,Married,Have Certification,N/A,Own/buying home,1200,Household of 4,"$75,001-$100,000",Yes,Yes,Yes,n/a,n/a
Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Don't know,Big Barrier,Don't know,Don't know,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,,Not Applicable,,,Top Priority,Not Applicable,Next Priority,,,Not Applicable,Top Priority,,Next Priority,Top Priority,,,,Next Priority,,,"There really, really needs to be more housing for low income families.",Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,,,Start new programs to met new needs in the community,Advocate for low income residents in the community,,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,"b.	Received a shut-off notice for utilities",,,,,,,,,,,,,,,"5.	Government (including schools) employee",Gratiot,,,Montcalm,Other,Yes,White or Caucasian,Female,55-69 years,Divorced,High School or GED diploma,N/A,Own/buying home,650,Household of 3,"$25,001 – 45,000",Yes,Yes,Yes,,
,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Not a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Next Priority,Top Priority,Next Priority,Next Priority,Top Priority,Next Priority,Top Priority,Next Priority,Next Priority,Top Priority,Next Priority,Next Priority,Next Priority,Top Priority,Next Priority,Top Priority,Top Priority,Next Priority,Next Priority,Next Priority,,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",Gratiot,,,Montcalm,Other,Yes,White or Caucasian,Female,24-44 years,Married,Have Associates degree,N/A,Own/buying home,,Household of 4,"Over $100,000",Yes,Yes,Yes,,
